code,country,measure,unit_of_measure,statistical_operation,year,available_adult_icu_beds,observation_status
LVA,Latvia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,35.0,Definition differs
LVA,Latvia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,33.0,Definition differs
KOR,Korea,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1848.0,
KOR,Korea,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,8344.0,
KOR,Korea,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,144.0,
KOR,Korea,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,10335.0,
JPN,Japan,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,5678.0,
JPN,Japan,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,5873.0,
JPN,Japan,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,5959.0,
JPN,Japan,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,6029.0,
JPN,Japan,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,6145.0,
JPN,Japan,Adult critical care hospital beds,Beds,Arithmetic mean,2015,11911.0,
JPN,Japan,Adult critical care hospital beds,Beds,Arithmetic mean,2016,12026.0,
JPN,Japan,Adult critical care hospital beds,Beds,Arithmetic mean,2017,11798.0,
JPN,Japan,Adult critical care hospital beds,Beds,Arithmetic mean,2018,11622.0,
JPN,Japan,Adult critical care hospital beds,Beds,Arithmetic mean,2019,11595.0,
JPN,Japan,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,48.0,
JPN,Japan,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,84.0,
JPN,Japan,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,88.0,
JPN,Japan,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,94.0,
JPN,Japan,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,108.0,
JPN,Japan,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,22001.0,
JPN,Japan,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,22626.0,
JPN,Japan,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,22914.0,
JPN,Japan,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,23157.0,
JPN,Japan,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,23604.0,
JPN,Japan,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,16275.0,
JPN,Japan,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,16669.0,
JPN,Japan,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,16867.0,
JPN,Japan,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,17034.0,
JPN,Japan,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,17351.0,
ITA,Italy,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,6080.0,Definition differs
ITA,Italy,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,6163.0,Definition differs
ITA,Italy,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,6195.0,Definition differs
ITA,Italy,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,6218.0,Definition differs
ITA,Italy,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1133.0,Definition differs
ITA,Italy,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1150.0,Definition differs
ITA,Italy,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1125.0,Definition differs
ITA,Italy,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1077.0,Definition differs
ITA,Italy,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1122.0,Definition differs
ITA,Italy,Adult critical care hospital beds,Beds,Arithmetic mean,2015,4863.0,
ITA,Italy,Adult critical care hospital beds,Beds,Arithmetic mean,2016,4930.0,
ITA,Italy,Adult critical care hospital beds,Beds,Arithmetic mean,2017,5038.0,
ITA,Italy,Adult critical care hospital beds,Beds,Arithmetic mean,2018,5118.0,
ITA,Italy,Adult critical care hospital beds,Beds,Arithmetic mean,2019,5096.0,
ITA,Italy,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,4863.0,Definition differs
ITA,Italy,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,4930.0,Definition differs
ITA,Italy,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,5038.0,Definition differs
ITA,Italy,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,5118.0,Definition differs
ITA,Italy,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,5096.0,Definition differs
ISR,Israel,Adult critical care hospital beds,Beds,Maximum,2015,799.0,
ISR,Israel,Adult critical care hospital beds,Beds,Maximum,2016,820.0,
ISR,Israel,Adult critical care hospital beds,Beds,Maximum,2017,838.0,
ISR,Israel,Adult critical care hospital beds,Beds,Maximum,2018,853.0,
ISR,Israel,Adult critical care hospital beds,Beds,Maximum,2019,883.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,842.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,854.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,870.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,900.0,
ISR,Israel,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,921.0,
ISR,Israel,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,765.0,
ISR,Israel,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,778.0,
ISR,Israel,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,792.0,
ISR,Israel,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,804.0,
ISR,Israel,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,814.0,
ISR,Israel,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,140.0,
ISR,Israel,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,141.0,
ISR,Israel,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,143.0,
ISR,Israel,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,151.0,
ISR,Israel,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,161.0,
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2018,10983.22,Estimated value
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2019,10877.0,Estimated value
PRT,Portugal,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,72.0,
PRT,Portugal,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,74.0,
PRT,Portugal,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,68.0,
PRT,Portugal,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,74.0,
PRT,Portugal,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,95.0,
PRT,Portugal,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1190.0,
PRT,Portugal,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1210.0,
PRT,Portugal,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1184.0,
PRT,Portugal,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1189.0,
PRT,Portugal,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1242.0,
PRT,Portugal,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,251.0,
PRT,Portugal,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,255.0,
PRT,Portugal,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,254.0,
PRT,Portugal,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,237.0,
PRT,Portugal,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,225.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,867.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,881.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,862.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,878.0,
PRT,Portugal,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,922.0,
NZL,New Zealand,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,149.0,
NZL,New Zealand,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,149.0,Definition differs
NLD,Netherlands,Adult critical care hospital beds,Beds,Arithmetic mean,2015,1208.0,
NLD,Netherlands,Adult critical care hospital beds,Beds,Arithmetic mean,2016,1209.0,
NLD,Netherlands,Adult critical care hospital beds,Beds,Arithmetic mean,2017,1191.0,
NLD,Netherlands,Adult critical care hospital beds,Beds,Arithmetic mean,2018,1210.0,
NLD,Netherlands,Adult critical care hospital beds,Beds,Arithmetic mean,2019,1210.0,Estimated value
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2015,2208.0,
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2016,2138.0,
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2017,2056.0,
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,1208.0,Definition differs
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,1209.0,Definition differs
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,1191.0,Definition differs
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,1210.0,Definition differs
NLD,Netherlands,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,1210.0,Estimated value
MEX,Mexico,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,8607.0,
MEX,Mexico,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,8089.0,
MEX,Mexico,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,8619.0,
MEX,Mexico,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,8283.0,
LUX,Luxembourg,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,153.0,
LUX,Luxembourg,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2019,132.0,
LUX,Luxembourg,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,16.0,
LUX,Luxembourg,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,5.0,
LUX,Luxembourg,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,132.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,624.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,612.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,585.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,568.0,
LTU,Lithuania,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,576.0,
LTU,Lithuania,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,98.0,
LTU,Lithuania,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,97.0,
LTU,Lithuania,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,98.0,
LTU,Lithuania,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,97.0,
LTU,Lithuania,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,97.0,
LTU,Lithuania,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,722.0,
LTU,Lithuania,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,709.0,
LTU,Lithuania,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,683.0,
LTU,Lithuania,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,665.0,
LTU,Lithuania,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,673.0,
LVA,Latvia,Adult critical care hospital beds,Beds,Arithmetic mean,2015,194.0,
LVA,Latvia,Adult critical care hospital beds,Beds,Arithmetic mean,2016,189.0,
LVA,Latvia,Adult critical care hospital beds,Beds,Arithmetic mean,2017,185.0,
LVA,Latvia,Adult critical care hospital beds,Beds,Arithmetic mean,2018,190.0,
LVA,Latvia,Adult critical care hospital beds,Beds,Arithmetic mean,2019,212.0,
USA,United States,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,22889.0,
USA,United States,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,22714.0,
USA,United States,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,5166.0,
USA,United States,Adult critical care hospital beds,Beds,Arithmetic mean,2018,15716.0,
USA,United States,Adult critical care hospital beds,Beds,Arithmetic mean,2019,15821.0,
USA,United States,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,5141.0,
TUR,Türkiye,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1203.0,
TUR,Türkiye,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,1207.0,
TUR,Türkiye,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,1526.0,
TUR,Türkiye,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,1625.0,
TUR,Türkiye,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,1778.0,
TUR,Türkiye,Adult critical care hospital beds,Beds,Arithmetic mean,2015,15776.0,
TUR,Türkiye,Adult critical care hospital beds,Beds,Arithmetic mean,2016,16785.0,
TUR,Türkiye,Adult critical care hospital beds,Beds,Arithmetic mean,2017,18794.0,
TUR,Türkiye,Adult critical care hospital beds,Beds,Arithmetic mean,2018,19868.0,
TUR,Türkiye,Adult critical care hospital beds,Beds,Arithmetic mean,2019,21111.0,
TUR,Türkiye,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,10398.0,
TUR,Türkiye,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,10939.0,
TUR,Türkiye,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,11986.0,
TUR,Türkiye,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,12402.0,
TUR,Türkiye,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,12813.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,19882.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,20917.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,22728.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,24071.0,
TUR,Türkiye,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,25364.0,
TUR,Türkiye,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,31483.0,
TUR,Türkiye,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,33063.0,
TUR,Türkiye,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,36240.0,
TUR,Türkiye,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,38098.0,
TUR,Türkiye,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,39955.0,
CHE,Switzerland,Adult critical care hospital beds,Beds,Arithmetic mean,2015,633.9,
CHE,Switzerland,Adult critical care hospital beds,Beds,Arithmetic mean,2016,652.5,
CHE,Switzerland,Adult critical care hospital beds,Beds,Arithmetic mean,2017,615.2,
CHE,Switzerland,Adult critical care hospital beds,Beds,Arithmetic mean,2018,655.0,
CHE,Switzerland,Adult critical care hospital beds,Beds,Arithmetic mean,2019,656.6,
CHE,Switzerland,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,119.0,
CHE,Switzerland,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,125.0,
CHE,Switzerland,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,113.0,
CHE,Switzerland,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,125.0,
CHE,Switzerland,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,106.0,
CHE,Switzerland,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,833.9,
CHE,Switzerland,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,839.9,
CHE,Switzerland,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,837.3,
CHE,Switzerland,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,841.0,
CHE,Switzerland,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,847.1,
SWE,Sweden,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,138.0,Definition differs
ESP,Spain,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,735.0,
ESP,Spain,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2016,764.0,
ESP,Spain,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2017,794.0,
ESP,Spain,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2018,849.0,
ESP,Spain,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,832.0,
ESP,Spain,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,5671.0,Definition differs
ESP,Spain,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,5650.0,Definition differs
ESP,Spain,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,5657.0,Definition differs
ESP,Spain,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,5799.0,Definition differs
ESP,Spain,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,5747.0,Definition differs
ESP,Spain,Adult critical care hospital beds,Beds,Maximum,2015,9071.93,Estimated value
ESP,Spain,Adult critical care hospital beds,Beds,Maximum,2016,8975.98,Estimated value
ESP,Spain,Adult critical care hospital beds,Beds,Maximum,2017,8979.75,Estimated value
ESP,Spain,Adult critical care hospital beds,Beds,Maximum,2018,9143.42,Estimated value
ESP,Spain,Adult critical care hospital beds,Beds,Maximum,2019,9055.0,Estimated value
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,4936.0,Definition differs
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,4886.0,Definition differs
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,4863.0,Definition differs
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,4950.0,Definition differs
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,4915.0,Definition differs
ESP,Spain,Adult critical care hospital beds,Beds,Arithmetic mean,2015,4822.0,
ESP,Spain,Adult critical care hospital beds,Beds,Arithmetic mean,2016,4771.0,
ESP,Spain,Adult critical care hospital beds,Beds,Arithmetic mean,2017,4773.0,
ESP,Spain,Adult critical care hospital beds,Beds,Arithmetic mean,2018,4860.0,
ESP,Spain,Adult critical care hospital beds,Beds,Arithmetic mean,2019,4813.0,
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2015,10897.34,Estimated value
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2016,10782.08,Estimated value
ESP,Spain,Adult intensive care unit (ICU) hospital beds,Beds,Maximum,2017,10786.6,Estimated value
HRV,Croatia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,491.0,Definition differs
MEX,Mexico,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,8747.0,
LVA,Latvia,Paediatric intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2019,33.0,Definition differs
ITA,Italy,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,5996.0,Definition differs
GRC,Greece,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,2675.0,
DEU,Germany,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2015,27489.0,
FRA,France,Neonatal intensive care unit (ICU) hospital beds,Beds,Not applicable​​,2015,1930.0,
CRI,Costa Rica,Adult intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,149.0,
HRV,Croatia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2016,474.0,Definition differs
HRV,Croatia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2017,456.0,Definition differs
HRV,Croatia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,408.0,Definition differs
HRV,Croatia,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,416.0,Definition differs
USA,United States,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2018,98610.0,
USA,United States,Intensive care unit (ICU) hospital beds,Beds,Arithmetic mean,2019,96582.0,
USA,United States,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2018,1.57,
USA,United States,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2019,1.57,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2018,0.5,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2019,0.52,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,1.68,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2016,1.68,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2017,1.68,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2018,1.69,
AUS,Australia,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2019,1.7,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,0.43,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2016,0.45,
AUS,Australia,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2017,0.49,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,2.64,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2016,2.64,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2017,2.48,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2018,2.53,
AUT,Austria,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2019,2.51,
AUS,Australia,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2015,6.95,
AUS,Australia,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2016,7.23,
AUS,Australia,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2017,7.16,
AUS,Australia,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2018,7.39,
AUS,Australia,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2019,7.61,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2015,7.24,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2016,7.53,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2017,7.56,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2018,7.87,
AUS,Australia,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2019,8.11,
AUS,Australia,Intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2015,9.35,
AUS,Australia,Intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2016,9.66,
AUS,Australia,Intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2017,9.73,
AUS,Australia,Intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2018,10.07,
AUS,Australia,Intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2019,10.33,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,0.63,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2016,0.62,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2017,0.61,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2018,0.6,
CAN,Canada,Paediatric intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2019,0.6,
CAN,Canada,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,4.17,
AUT,Austria,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2015,13.34,
AUT,Austria,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2016,13.43,
AUT,Austria,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2017,13.22,
AUT,Austria,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2018,13.34,
AUT,Austria,Adult critical care hospital beds,Per 100 000 inhabitants,Arithmetic mean,2019,13.04,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2015,21.76,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2016,21.88,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2017,21.8,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2018,21.75,
AUT,Austria,Adult intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Arithmetic mean,2019,21.83,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2015,3.05,
AUT,Austria,Neonatal intensive care unit (ICU) hospital beds,Per 100 000 inhabitants,Not applicable​​,2016,3.18,
