code,country,frequency_of_observation,measure,unit_of_measure,financing_scheme,financing_scheme_rev,health_function,mode_of_provision,provider,health_care_provider,year,health_expenditure_as_percent_gdp
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.231
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.662
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.158
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.638
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.125
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,5.28
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,8.317
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,8.21
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.862
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.938
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,8.23
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,8.077
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.337
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.871
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,8.103
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,8.004
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,7.944
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,7.794
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.649
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,7.148
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.905
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.877
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.977
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,8.08
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,8.053
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.041
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.678
ZAF,South Africa,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.123
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,11.226
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,10.083
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,11.396
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,10.386
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,10.316
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,10.215
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,10.022
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.706
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.584
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,11.49
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,11.44
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,11.525
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,11.297
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,11.185
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,11.099
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,11.21
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,11.371
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,10.164
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,11.288
FRA,France,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,10.501
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,7.476
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.02
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.799
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.82
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,9.15
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,9.091
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.91
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.25
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.208
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.097
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.0
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,8.558
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,8.351
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.842
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.31
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.624
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.858
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.74
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.213
CHL,Chile,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.072
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.895
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.393
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,8.372
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,8.22
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,9.418
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.445
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,9.456
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.183
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.835
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.64
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.611
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,9.534
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.442
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.229
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.355
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,9.002
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.229
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.671
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,9.781
ARG,Argentina,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,9.827
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.928
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.536
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.923
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.779
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.469
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.022
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,5.323
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,5.437
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,5.406
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.066
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.826
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.622
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.653
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.931
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,9.653
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,8.601
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,8.628
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,9.394
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,9.316
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.343
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,9.405
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,9.654
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,9.731
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,10.033
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,10.131
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.583
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.514
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,9.413
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,9.306
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,9.533
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,9.124
PRT,Portugal,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,8.786
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,5.868
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.954
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.468
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.067
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.48
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.265
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.287
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.588
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.376
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,5.873
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,5.803
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,5.807
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.313
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.583
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,6.46
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.667
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.288
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.571
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,6.404
POL,Poland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.319
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,8.017
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.882
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,8.299
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,8.01
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.703
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.53
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.07
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.283
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,8.874
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,8.722
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,8.735
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,8.858
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,9.033
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,7.915
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.438
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,9.96
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.23
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,8.796
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,9.194
NOR,Norway,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,8.983
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,9.244
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,9.283
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.402
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.072
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,8.329
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,8.638
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,8.273
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,9.36
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,9.652
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,9.52
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.593
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,9.621
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,9.038
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,8.97
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.901
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.722
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.9
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.579
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.47
NZL,New Zealand,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.124
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.996
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,8.052
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,5.236
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.95
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.9
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.327
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.852
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.804
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.948
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.905
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.735
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,8.32
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,8.77
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.208
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.832
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.941
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.785
SWE,Sweden,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,8.13
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,10.251
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,10.051
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,10.18
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,10.312
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.921
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.888
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,11.242
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,11.19
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,11.026
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.999
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.853
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.778
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,11.096
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,11.238
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,11.716
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,11.473
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,11.326
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,10.146
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,10.402
DEU,Germany,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,10.184
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,7.017
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.746
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.781
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,7.071
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.311
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.842
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.491
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.336
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.067
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.942
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.635
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.531
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.523
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.186
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.78
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.625
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.679
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,5.799
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.775
COL,Colombia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,5.733
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.996
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.935
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.664
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.286
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,6.565
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.315
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.592
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.662
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,7.679
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.782
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,8.112
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,8.029
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.86
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,7.469
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.221
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.045
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.63
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.969
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.869
CRI,Costa Rica,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,6.474
HUN,Hungary,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.204
