ref_area,country,frequency_of_observation,measure,unit_of_measure,health_care_provider,asset_type,price_base,year,set_healtchare_capita_outcomes,base_period,unit_multiplier
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2014,0.01,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2013,0.012,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2012,0.011,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2011,0.02,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2010,0.015,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2009,0.004,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2008,0.005,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2007,0.012,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2006,0.009,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2005,0.008,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2004,0.008,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2003,0.007,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2002,0.009,,Units
SWE,Sweden,Annual,Gross fixed capital formation,Percentage of GDP,Retailers and other providers of medical goods,Machinery and equipment,Not applicable,2001,0.01,,Units
LVA,Latvia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Machinery and equipment,Current prices,2018,3.779,,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2006,8575.635,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2005,8355.358,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2004,8284.432,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2003,8891.073,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2002,9296.83,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2001,7832.225,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2018,10939.419,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2017,10360.57,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2016,11054.029,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2015,10164.0,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2014,9386.72,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2013,10134.647,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2012,8854.039,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2011,9285.867,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2010,9758.587,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2009,9175.687,2015.0,Millions
SWE,Sweden,Annual,Gross fixed capital formation,National currency,Total,Machinery and equipment,Constant prices,2008,8922.929,2015.0,Millions
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2018,0.197,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2017,0.136,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2016,0.11,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2015,0.113,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2014,0.094,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2013,0.132,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2012,0.1,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2011,0.123,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2010,0.121,,Units
GRC,Greece,Annual,Gross fixed capital formation,Percentage of GDP,Total,Machinery and equipment,Not applicable,2009,0.155,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2016,51.76,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2015,66.368,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2014,68.403,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2013,66.381,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2012,62.918,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2011,47.688,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Infrastructure,Not applicable,2018,63.106,,Units
PRT,Portugal,Annual,Gross fixed capital formation,National currency,Retailers and other providers of medical goods,Infrastructure,Current prices,2018,49.193,,Millions
PRT,Portugal,Annual,Gross fixed capital formation,National currency,Retailers and other providers of medical goods,Infrastructure,Current prices,2017,50.864,,Millions
PRT,Portugal,Annual,Gross fixed capital formation,National currency,Retailers and other providers of medical goods,Infrastructure,Current prices,2016,51.769,,Millions
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ancillary services,Infrastructure,Not applicable,2018,0.004,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ancillary services,Infrastructure,Not applicable,2017,0.005,,Units
PRT,Portugal,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ancillary services,Infrastructure,Not applicable,2016,0.006,,Units
MLT,Malta,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2018,13.505,2015.0,Millions
MLT,Malta,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Constant prices,2017,8.719,2015.0,Millions
MLT,Malta,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Hospitals,Infrastructure,Not applicable,2018,48.578,,Units
MLT,Malta,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Hospitals,Infrastructure,Not applicable,2017,4.679,,Units
BRA,Brazil,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2017,14804.212,2015.0,Millions
BRA,Brazil,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2016,18277.609,2015.0,Millions
BRA,Brazil,Annual,Gross fixed capital formation,National currency,Total,Total,Constant prices,2015,17360.268,2015.0,Millions
LVA,Latvia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Intellectual property products,Constant prices,2018,0.091,2015.0,Millions
LVA,Latvia,Annual,Gross fixed capital formation,National currency,Providers of ancillary services,Intellectual property products,Constant prices,2017,0.068,2015.0,Millions
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2002,4.56,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2001,4.552,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2018,2.113,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2017,1.095,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2016,3.684,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2015,2.216,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2014,2.216,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2013,3.711,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2012,5.467,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2011,4.387,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2010,5.36,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2009,5.886,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2008,3.452,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2007,5.76,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2006,8.819,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2005,5.457,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of ambulatory healthcare,Intellectual property products,Not applicable,2004,4.514,,Units
LVA,Latvia,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2018,0.005,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2006,0.022,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2005,0.014,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2004,0.012,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2003,0.013,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2002,0.012,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2001,0.012,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2018,0.016,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2017,0.014,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2016,0.013,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2015,0.013,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2014,0.014,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2013,0.023,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2012,0.023,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2011,0.015,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2010,0.019,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2009,0.018,,Units
FIN,Finland,Annual,Gross fixed capital formation,Percentage of GDP,Hospitals,Intellectual property products,Not applicable,2008,0.012,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2018,5.015,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2017,3.022,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2016,2.042,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2015,2.915,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2014,3.891,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2013,2.55,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2012,2.103,,Units
CRI,Costa Rica,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Intellectual property products,Not applicable,2011,2.562,,Units
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2006,50.332,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2018,204.07,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2016,86.476,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2015,103.26,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2014,60.289,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2013,58.001,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2012,80.072,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2011,99.711,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2010,85.579,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2009,63.482,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,National currency,Rest of the economy,Machinery and equipment,Constant prices,2008,42.442,2015.0,Millions
CAN,Canada,Annual,Gross fixed capital formation,Percentage of GDP,Rest of the economy,Machinery and equipment,Not applicable,2006,0.003,,Units
CAN,Canada,Annual,Gross fixed capital formation,Percentage of GDP,Rest of the economy,Machinery and equipment,Not applicable,2018,0.009,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2018,0.432,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2017,0.397,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2016,0.455,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2015,0.405,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2014,0.459,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2013,0.512,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2012,0.311,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2011,0.434,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2010,0.348,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2009,0.396,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2018,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2017,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2016,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2015,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2014,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2013,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2012,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2011,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2010,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2009,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2008,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2007,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2006,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2005,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2004,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2003,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2002,100.0,,Units
ISL,Iceland,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2001,100.0,,Units
MLT,Malta,Annual,Gross fixed capital formation,Percentage of GDP,Residential long-term care facilities,Total,Not applicable,2018,0.108,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2010,0.102,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2009,0.151,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2008,0.116,,Units
LTU,Lithuania,Annual,Gross fixed capital formation,Percentage of GDP,Providers of ambulatory healthcare,Total,Not applicable,2005,0.008,,Units
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2001,26.462,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2018,47.265,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2017,217.226,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2016,187.751,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2015,309.044,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2014,309.044,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2013,45.427,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2012,59.443,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2011,51.045,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2010,79.526,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2009,77.024,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2008,86.194,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2007,74.962,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2006,63.263,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2005,59.879,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2004,39.781,,Millions
FIN,Finland,Annual,Gross fixed capital formation,National currency,Residential long-term care facilities,Total,Current prices,2003,50.789,,Millions
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2015,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2014,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2018,100.0,,Units
AUS,Australia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Residential long-term care facilities,Total,Not applicable,2017,100.0,,Units
SVK,Slovak Republic,Annual,Gross fixed capital formation,National currency,Hospitals,Total,Constant prices,2005,77.56,2015.0,Millions
SVK,Slovak Republic,Annual,Gross fixed capital formation,National currency,Hospitals,Total,Constant prices,2007,7.76,2015.0,Millions
CHL,Chile,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2001,100.0,,Units
CHL,Chile,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2017,100.0,,Units
CHL,Chile,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2016,100.0,,Units
CHL,Chile,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Total,Total,Not applicable,2013,100.0,,Units
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2010,176.234,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2009,155.855,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2008,249.744,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2007,200.579,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2006,359.766,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2005,247.664,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2004,199.406,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2003,154.258,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2002,291.702,,Millions
LUX,Luxembourg,Annual,Gross fixed capital formation,National currency,Total,Total,Current prices,2001,146.762,,Millions
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2008,0.431,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2007,0.445,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2006,0.291,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2005,0.391,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2004,0.588,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2003,0.514,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2002,0.604,,Units
IRL,Ireland,Annual,Gross fixed capital formation,Percentage of GDP,Total,Total,Not applicable,2001,0.596,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2018,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2017,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2016,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2015,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2014,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2013,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2012,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2011,100.0,,Units
CZE,Czechia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Rest of the economy,Total,Not applicable,2010,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2006,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2005,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2004,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2003,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2013,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2011,100.0,,Units
SVN,Slovenia,Annual,Gross fixed capital formation,Percentage of expenditure in the same provider,Providers of healthcare system administration and financing,Total,Not applicable,2009,100.0,,Units
